"Material";"Sample";"Site";"Th";"U";"Y";"La";"Ce";"Pr";"Nd";"Sm";"Eu";"Gd";"Dy";"Er";"Yb"
"Sandstone";"MA-200974";"Eisenberg";729.44;1062.97;13.66;151.03;124.2;98.59;60.7;31.98;15.95;20.32;15.96;14.39;14.35
"Ore";"MA-200975";"Eisenberg";178.92;221.67;16.42;57.2;39.54;35.02;34.69;29.83;18.03;24.35;19.23;16.82;14.9
"Sandstone";"MA-200976";"Eisenberg";2.58;969.4;3.47;7.79;1.58;3.25;2.96;2.34;1.87;2.87;1.94;2.09;1.85
"Ore";"MA-200977";"Eisenberg";127.88;297.46;34;130.89;69;115.16;115.36;91.49;53.1;70.65;42.97;31.8;22.64
"Oven Slag";"MA-200978";"Eisenberg";233.9;551.73;16.25;79.42;52.5;47.64;41.96;29.91;15.3;23.74;17.3;14.6;13.16
"Oven Slag";"MA-200979";"Eisenberg";245.16;482.77;16.17;82.51;56.66;49;42.2;29.55;16.16;21.51;17.03;15;13.92
"Oven Slag";"MA-200980";"Eisenberg";256.41;556.68;17.48;91.86;63.28;53.75;49.52;37.28;20.32;24.17;18.76;17.12;16.94
"Oven Slag";"MA-200981";"Eisenberg";104.12;140.26;9.51;47.1;26.87;23.78;21.23;15.32;9.05;11.74;9.26;8.62;8.52
"Oven Slag";"MA-200983";"Eisenberg";346.64;1161.53;17.67;109.79;73.9;63.96;59.19;41.24;19.11;29.82;20.03;17.75;17.32
"Smithing Slag";"MA-200984";"Eisenberg";225.2;304.84;15.64;88.63;65.23;60.68;43.28;31.61;17.33;22.28;17.13;14.54;12.05
"Smithing Slag";"MA-200985";"Eisenberg";79.18;74.95;4.82;28.28;16.75;15.38;13.34;8.95;4.61;6.77;5.05;4.83;4.44
"Smithing Slag";"MA-200986";"Eisenberg";144.91;184.89;7.17;42.54;28.87;25.67;20.79;15.66;7.4;10.43;7.98;7.57;7.42
"Smithing Slag";"MA-200987";"Eisenberg";34.09;54.45;1.93;13.35;10.3;9.71;6.5;4.46;2.71;2.93;2.15;1.98;1.84
"Plate Slag";"MA-200989";"Eisenberg";266.55;895.28;37.53;105.33;73.03;69.35;66.9;53.74;30.07;45.32;35.62;33.62;28.96
"Plate Slag";"MA-200990";"Eisenberg";91.78;113.33;6.57;32.3;20.35;17.94;15.61;11.6;6.46;8.2;6.33;5.9;5.75
"Plate Slag";"MA-200991";"Eisenberg";52.43;56.52;4.27;22.19;12.82;11.67;10.02;6.55;3.53;5.09;3.9;3.57;3.34
"Plate Slag";"MA-200992";"Eisenberg";402.43;916.33;21.16;123.25;84.07;73.58;61.82;42.63;20.85;30.76;22.74;20.77;19.84
"Plate Slag";"MA-200994";"Eisenberg";308.82;812.82;31.2;107.57;75.59;64.83;57.54;45.35;24.12;35.33;28.87;28.01;26.48
"Plate Slag";"MA-200995";"Eisenberg";270.21;2000.35;25.53;121.63;73.98;62.71;55.54;37.47;19.76;30.29;22.72;22.23;20.22
"Plate Slag";"MA-200996";"Eisenberg";312.43;1128.97;35.22;110.02;75.44;66.31;57.14;43.59;24.25;37.69;29.39;27.73;23.19
"Plate Slag";"MA-200997";"Eisenberg";251.72;1324.32;24.2;130.8;89.72;80.82;53.83;37.16;22.2;26.63;20.73;18.75;17.02
"Plate Slag";"MA-200998";"Eisenberg";273.75;993.6;18.6;96.51;64.99;56.54;50.59;35.48;18.72;26.25;19.48;17.58;16.04
"Plate Slag";"MA-200999";"Eisenberg";247.59;661.52;46.19;165.78;94;84.87;77.07;56.11;34.33;49.52;36.64;32.69;29.47
"Flow Slag";"MA-201000";"Eisenberg";189.99;592.26;30.35;109.33;63.42;56.85;49.66;35.04;20.34;29.04;23.88;23.09;20.35
"Flow Slag";"MA-201001";"Eisenberg";332.49;614.08;17.85;109.23;73.1;65.48;55.62;39.93;19.19;26.97;20.24;17.82;17.24
"Flow Slag";"MA-201002";"Eisenberg";230.81;669.53;36.72;129.99;74.18;65.45;58.97;41.57;23.61;35.01;28.7;27.16;24.62
"Flow Slag";"MA-201003";"Eisenberg";206.99;670.28;27.02;75.74;53.01;46.43;41.69;33.8;19.03;28.58;23.08;22.3;21.08
"Flow Slag";"MA-201004";"Eisenberg";161.4;177.92;8.68;63.55;41.36;36.09;32.28;22.99;12.06;14.86;10.06;8.55;8.41
"Flow Slag";"MA-201005";"Eisenberg";328.77;458.1;42.67;125.13;100.82;86.1;84.95;70.51;38.38;58.76;41.07;36.28;30.85
"Flow Slag";"MA-201006";"Eisenberg";165.23;164.01;11.64;57.6;37.39;32.49;28.07;22.18;9.72;14.03;10.52;9.32;9.97
"Flow Slag";"MA-201008";"Eisenberg";155.41;449.07;11.02;66.25;38.74;35.96;30.64;18.61;11.43;14.63;11.38;9.68;8.67
"Flow Slag";"MA-201010";"Eisenberg";324.54;568.58;22.71;112.63;73.86;67.68;57.55;43.12;22.4;29.99;23.4;21.31;20.05
"Flow Slag";"MA-201011";"Eisenberg";318.52;1249.08;31.98;106.08;71.97;67.11;59.36;47.62;26.33;41.37;33.01;30.59;29.4
"Flow Slag";"MA-201012";"Eisenberg";283.15;2209.93;24.24;129.17;79.39;70.19;62.94;46.38;25.08;33.92;25.21;22.96;21.67
"Bloom";"MA-200988-1A";"Eisenberg";227.59;1486.49;33.89;91.98;68.19;58.19;54.05;45.27;31.97;50.25;40.65;35.63;31.06
"Bloom";"MA-200988-1B";"Eisenberg";175.86;1567.57;27.58;86.5;76.02;57.11;48.58;40.54;30.2;42.71;31.71;26.88;22.36
"Bloom";"MA-200988-2B";"Eisenberg";182.76;1364.86;27.64;80.17;66.23;52.8;45.95;38.51;28.42;41.71;32.11;28.75;24.84
"Iron-SI";"MA-201419";"Eisenberg";322.76;1264.86;65.89;255.19;172.01;142.78;117.2;78.51;54.53;72.66;52.64;50.25;45.4
"Iron-SI-P";"MA-201421";"Eisenberg";185.52;277.03;9.09;78.02;57.32;44.94;39.39;27.09;12.79;13.97;10.33;12.06;11.74
"Iron-SI";"MA-201422";"Eisenberg";212.41;1175.68;23.92;107.85;86.2;71.88;63.24;44.32;21.67;28.39;23.7;21.56;17.95
"Iron-SI";"MA-201423";"Eisenberg";177.24;179.73;41.85;165.15;138.37;95.37;79.5;55;29.48;46.33;35.81;33.06;26.65
"Iron-SI-P";"MA-201425";"Eisenberg";128.97;618.92;16.4;75.06;55.89;48.17;38.42;25.74;16.34;19.2;14.72;14.25;13.85
"Iron-SI-P";"MA-201426";"Eisenberg";123.1;152.7;28.89;115.44;96.72;61.64;53.02;35.07;21.14;30.65;23.78;22.88;20.43
"Iron-SI-P";"MA-201427";"Eisenberg";183.79;728.38;19.75;87.47;67.54;57;47.35;33.24;20.07;27.34;19.92;17.25;16.21
"Ore";"MA-201429";"Imsbach";131.03;9324.32;124.84;113.5;39.48;109.61;111.6;137.84;55.06;116.08;107.72;100;95.65
"Ore";"MA-201430";"Hettenleidelheim";141.38;554.05;11.91;59.07;45.35;45.85;33.92;27.03;19.01;18.59;15.45;12.19;10.5
"Ore";"MA-201431";"Hettenleidelheim";52.07;345.95;8.47;25.74;21.86;21.98;17.94;17.23;10.83;12.21;11.14;8.5;7.76
"Ore";"MA-201432";"Hettenleidelheim";110.34;245.95;8.22;33.33;45.02;25.22;20.13;18.51;11.55;11.81;10.89;8.75;8.2
"Ore";"MA-201433";"Tiefenthal";92.07;404.05;18.54;33.33;79.93;25;19.04;17.16;12.08;16.08;15.45;15.5;13.35
"Ore";"MA-201434";"Tiefenthal";186.21;372.97;22.93;108.86;83.2;82.97;67.83;52.03;34.46;41.71;28.46;22.5;18.14
"Ore";"MA-201535";"Eisenberg";70.99;533.72;23.08;91.4;34.7;68.67;54.4;43.93;27.29;31.92;22.97;18.69;15.41
"Ore";"MA-201912";"Hettenleidelheim";140.8;600.46;6.85;32.81;18.05;28.35;22.3;18.42;12.24;11.58;10.15;8.91;9.7
"Ore";"MA-201914";"Stumpfwald";91.18;275.31;8.88;21.41;33.59;23.65;20.07;25.87;21.31;24.07;14.78;9.58;8.1
