"Material","Sample","Site","Li","Be","Na2O (%)","MgO (%)","Al2O3 (%)","SiO2 (%)","P2O5 (%)","S","K2O (%)","CaO (%)","Sc","TiO2 (%)","V","Cr","MnO (%)","Fe2O3 (%)","Co","Ni","Cu","Zn","Ga","As","Rb","Sr","Y","Zr","Nb","Mo","Sn","Sb","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Pb","Th","U","U/Th","Lu/Hf","Zr/Hf","Nb/Ta"
"Sandstone","MA-200974","Eisenberg",25.85,5.87,4.18,3.54,12.99,64.28,0.08,2204.53,2.95,4.05,16.71,0.49,82.13,15.52,0.13,6.91,22.65,27.44,122.93,41.69,16.84,8.89,122.57,197.27,21.45,201.5,7.96,0.97,2.49,1.83,3.73,559.89,35.79,76.13,9.15,27.74,4.73,0.9,4.04,0.67,3.93,0.75,2.3,0.34,2.31,0.36,4.85,0.69,4.85,44.7,21.15,7.87,0.37,0.07,41.57,11.46
"Ore","MA-200975","Eisenberg",28.7,4.15,0.1,0.92,7.56,14.04,0.42,481.61,2.07,1.9,7.6,0.17,48.12,31.54,1.84,70.78,7.35,22.97,32.45,143.68,9.85,36.73,101.31,83.28,25.77,36.9,4.76,3.26,1.98,1.6,11.45,697.27,13.56,24.24,3.25,15.86,4.42,1.01,4.85,0.78,4.73,0.96,2.69,0.37,2.4,0.35,1.17,0.36,1.13,10.88,5.19,1.64,0.32,0.3,31.54,13.23
"Sandstone","MA-200976","Eisenberg",5.61,0.15,0.89,0.48,0.04,0.63,30.02,629.62,0.03,67.18,0.38,0.01,13.93,39.25,0.04,0.46,0.99,21.44,34.96,51.77,0.27,2.18,0.36,648.24,5.45,21.78,0.24,2.04,0.16,0.76,0.03,734.12,1.85,0.97,0.3,1.35,0.35,0.11,0.57,0.07,0.48,0.12,0.33,0.05,0.3,0.05,0.49,0,0.13,1.82,0.07,7.17,95.75,0.1,44.29,73.18
"Ore","MA-200977","Eisenberg",18.61,9.66,0.08,0.81,5.46,10.41,0.98,262.73,1.43,1.9,6.27,0.11,70.22,36.66,6.53,72,14.53,58.07,30.09,87.71,8.27,43.76,68.96,241.86,53.39,23.29,3.04,35.45,1.31,4.42,8.38,1421.89,31.02,42.3,10.69,52.72,13.54,2.99,14.06,1.97,10.57,1.95,5.09,0.61,3.65,0.54,0.68,0.22,0.88,11.04,3.71,2.2,0.59,0.8,34.48,13.7
"Oven Slag","MA-200978","Eisenberg",19.33,4.8,0.13,0.74,6.59,21,0.74,376.97,1.51,3.2,7.89,0.18,43.84,30.63,2.38,63.27,32.22,27.71,369.67,25.05,12.75,51.71,70.5,149.47,25.52,264.24,5.44,2.32,2.46,2.24,6.41,817.92,18.82,32.18,4.42,19.18,4.43,0.86,4.72,0.71,4.25,0.85,2.34,0.33,2.12,0.32,7.85,0.47,2.88,6.15,6.78,4.08,0.6,0.04,33.66,11.47
"Oven Slag","MA-200979","Eisenberg",27.49,3.17,0.1,1.16,6.55,20.09,0.24,238.36,2.17,2.65,8.74,0.21,34.66,27.19,3.01,63.65,1.6,3.48,24.99,27.92,5.81,0.7,87.03,115.64,25.39,175.66,6.01,0.65,0.98,0.21,7.92,780.07,19.55,34.73,4.55,19.28,4.37,0.91,4.28,0.68,4.19,0.83,2.4,0.34,2.24,0.34,4.82,0.51,0.79,1.07,7.11,3.57,0.5,0.07,36.43,11.73
"Oven Slag","MA-200980","Eisenberg",33.88,4.06,0.15,1.34,8.39,24.84,0.31,231.15,2.83,3.32,10.43,0.24,41.78,34.95,3.91,54.46,1.58,2.45,33.51,28.13,6.97,1.03,108.17,135.96,27.45,145.65,6.96,0.77,1.18,0.23,10.72,1050,21.77,38.79,4.99,22.63,5.52,1.14,4.81,0.73,4.62,0.96,2.74,0.37,2.73,0.37,4.17,0.61,0.89,1.43,7.44,4.12,0.55,0.09,34.93,11.48
"Oven Slag","MA-200981","Eisenberg",9.69,0.96,0.1,0.44,3.01,16.88,0.24,176.17,0.46,1.27,5.1,0.09,12.89,16.49,0.76,76.69,5.36,18,12.13,12.87,3.96,3.88,19.43,48.53,14.93,64,2.73,0.5,0.97,0.2,1.63,187.93,11.16,16.47,2.21,9.7,2.27,0.51,2.34,0.35,2.28,0.47,1.38,0.21,1.37,0.19,1.9,0.23,0.85,3.96,3.02,1.04,0.34,0.1,33.62,11.7
"Oven Slag","MA-200983","Eisenberg",28.16,10.45,0.15,1.14,9.09,28.4,0.85,349.27,2.52,3.65,11.94,0.3,60.78,39.62,5.47,48.14,127.13,247.92,345.92,54.88,10.55,111.89,108.86,253.4,27.75,248.44,7.6,5.3,2.74,3.96,10.63,605.71,26.02,45.3,5.94,27.05,6.1,1.08,5.93,0.86,4.93,0.98,2.84,0.42,2.79,0.43,6.96,0.66,1.58,4.58,10.05,8.6,0.86,0.06,35.68,11.49
"Smithing Slag","MA-200984","Eisenberg",18.7,9.63,0.17,1.06,6.26,33.67,0.48,3164.08,1.85,4.71,7.69,0.16,34.56,36.38,2.75,48.39,3.94,10.58,30.63,10.42,5.5,2.57,74.41,113.09,24.56,88.78,5.2,4.21,1.66,1.59,6.21,988.41,21.01,39.99,5.63,19.78,4.68,0.98,4.43,0.74,4.21,0.84,2.33,0.3,1.94,0.29,2.37,0.45,2.37,6.62,6.53,2.26,0.35,0.12,37.39,11.59
"Smithing Slag","MA-200985","Eisenberg",6.45,0.43,0.11,0.67,2.06,16.27,0.27,314.13,0.47,2.75,4.33,0.08,20.49,15.5,0.15,77,58.67,409.59,60.58,12.21,3.37,53.76,16.28,96.76,7.57,74.63,3.02,4.3,1.46,2.19,0.76,253.03,6.7,10.27,1.43,6.09,1.33,0.26,1.35,0.2,1.24,0.25,0.77,0.11,0.71,0.12,2.21,0.19,0.6,6.21,2.3,0.55,0.24,0.05,33.83,15.51
"Smithing Slag","MA-200986","Eisenberg",10.06,2.14,0.16,0.66,2.94,14.45,0.37,251.32,1.07,1.39,5.36,0.08,16.65,15.44,1.77,77,71.92,17.12,48.26,22.2,3.7,3.92,53.61,57.41,11.26,70.35,2.94,1.43,1.41,0.75,5.01,250.31,10.08,17.7,2.38,9.5,2.32,0.42,2.08,0.3,1.96,0.39,1.21,0.18,1.19,0.17,1.99,0.26,0.64,3.75,4.2,1.37,0.33,0.09,35.28,11.29
"Smithing Slag","MA-200987","Eisenberg",5.88,0.76,0.05,0.28,1.83,12.1,0.61,1749.54,0.27,1.57,2.05,0.04,11.44,11.14,0.07,82.2,0.01,934.44,66.26,17.49,2.46,26.95,11.25,55.77,3.04,18.37,1.01,8,1.13,0.77,0.77,246.85,3.16,6.32,0.9,2.97,0.66,0.15,0.58,0.09,0.53,0.11,0.32,0.04,0.3,0.05,0.58,0.09,0.58,8.31,0.99,0.4,0.41,0.08,31.65,10.91
"Plate Slag","MA-200989","Eisenberg",27.55,9.72,0.1,1.05,5.79,21.32,0.24,235.99,1.52,2.1,10.38,0.2,33.49,27.77,3.2,64.31,5.5,3.81,29.42,64,6.49,0.91,56.96,136.92,58.92,291.21,6.22,0.62,1.34,0.09,5.34,517.11,24.96,44.76,6.44,30.57,7.95,1.69,9.02,1.4,8.76,1.93,5.38,0.75,4.66,0.68,8.42,0.56,0.81,2.82,7.73,6.63,0.86,0.08,34.6,11.1
"Plate Slag","MA-200990","Eisenberg",11.48,1.64,0.07,0.28,3.03,15.8,0.15,167.61,0.81,1.09,4.6,0.08,11.88,10.34,0.82,77.79,3.58,3.46,9.45,4.97,3.88,1.49,30.72,51.4,10.32,94.61,2.2,0.33,0.98,0.32,2.71,240.97,7.66,12.47,1.66,7.13,1.72,0.36,1.63,0.26,1.56,0.32,0.94,0.13,0.93,0.14,2.73,0.19,0.45,1.11,2.66,0.84,0.32,0.05,34.6,11.55
"Plate Slag","MA-200991","Eisenberg",5.88,0.39,0.04,0.16,1.42,10.62,0.16,162.57,0.21,0.61,2.65,0.03,3.29,5.41,0.21,86.5,14.79,62.42,11.9,5.44,2.91,2.85,9.17,22.26,6.7,47.94,1.06,0.23,0.85,0.2,0.75,63.44,5.26,7.86,1.08,4.58,0.97,0.2,1.01,0.16,0.96,0.2,0.57,0.08,0.54,0.08,1.38,0.1,0.72,0.72,1.52,0.42,0.28,0.06,34.74,10.53
"Plate Slag","MA-200992","Eisenberg",34.16,10.13,0.15,1.46,9.32,28.12,0.52,290.89,2.54,3.55,12.13,0.31,44.44,36.77,6.52,47.26,3.8,2.72,18.64,49.16,9.76,1.45,110.11,310.93,33.22,324.42,8.51,1.12,1.54,0.13,11.72,941.29,29.21,51.53,6.83,28.25,6.31,1.17,6.12,0.93,5.6,1.13,3.32,0.46,3.19,0.47,9.14,0.74,1.3,1.96,11.67,6.78,0.58,0.05,35.49,11.49
"Plate Slag","MA-200994","Eisenberg",49.67,8.43,0.16,2.65,7.27,27.53,0.27,320.49,2.57,2.91,11.72,0.22,34.57,30.84,3.55,52.69,3.96,4.5,7.14,32.91,6.79,2.67,98.42,103.77,48.98,248.05,7.03,0.63,1.26,0.19,8.8,473.55,25.49,46.34,6.02,26.3,6.71,1.36,7.03,1.14,7.1,1.53,4.48,0.65,4.26,0.63,6.78,0.62,1,3.02,8.96,6.01,0.67,0.09,36.59,11.32
"Plate Slag","MA-200995","Eisenberg",37.95,13.02,0.21,1.3,9.27,28.79,0.77,271.91,2.13,2.53,13.75,0.27,49.09,39.01,6.98,47.56,11.83,12.36,10.68,72.63,9,5.52,102.89,290.39,40.09,133.75,7.49,1.28,1.32,0.14,9.12,555.06,28.83,45.35,5.82,25.38,5.55,1.11,6.03,0.92,5.59,1.2,3.56,0.48,3.25,0.46,4,0.66,0.77,8.03,7.84,14.8,1.89,0.12,33.46,11.4
"Plate Slag","MA-200996","Eisenberg",33.37,8.51,0.12,1.32,7.15,24.73,0.32,391.43,2.14,2.46,11.33,0.23,33.87,31.7,3.53,57.8,9.14,6.66,26.44,45.94,8.31,3.57,81.13,161.41,55.3,215,7.16,0.72,1.63,0.27,7.85,584.64,26.08,46.24,6.15,26.11,6.45,1.37,7.5,1.14,7.23,1.57,4.44,0.59,3.73,0.57,6.18,0.65,1.09,2.64,9.06,8.35,0.92,0.09,34.76,10.96
"Plate Slag","MA-200997","Eisenberg",34,12.9,0.14,1.45,7.27,29.7,0.53,2510,2.11,3.3,11.3,0.25,45,36,8.6,46.13,7.8,9.4,78,281,7.3,1.7,104,370,38,122,7.6,1.31,2.1,0.1,8.1,350,31,55,7.5,24.6,5.5,1.25,5.3,0.91,5.1,1.07,3,0.41,2.74,0.37,2.89,0.59,1.24,13.1,7.3,9.8,1.34,0.13,42.21,12.88
"Plate Slag","MA-200998","Eisenberg",28.62,5.56,0.1,1.21,7.54,23.37,0.39,288.52,2.01,3.09,9.94,0.19,32.63,21.82,5.35,56.57,7.9,6.39,53.24,54.53,7.87,3.02,101.93,213.45,29.21,171.01,6.11,1.01,1.51,0.17,9.37,646.97,22.87,39.84,5.25,23.12,5.25,1.05,5.22,0.79,4.79,0.98,2.81,0.39,2.58,0.39,4.34,0.54,1.13,9.92,7.94,7.35,0.93,0.09,39.41,11.38
"Plate Slag","MA-200999","Eisenberg",18.98,8.75,0.08,1.17,4.86,27.07,0.49,323.53,1,2.07,9.88,0.14,22.44,34.31,3.64,59.31,4.39,5.19,68.15,37.04,4.06,3.63,56.31,126.68,72.52,128.14,6.58,1.22,5.81,0.29,5.1,411.69,39.29,57.62,7.88,35.22,8.31,1.93,9.85,1.48,9.01,1.92,5.23,0.73,4.75,0.61,3.68,0.55,0.83,7.47,7.18,4.9,0.68,0.17,34.81,11.86
"Flow Slag","MA-201000","Eisenberg",21.89,3,0.07,1.55,6.45,26.61,0.36,276.09,1.17,2.58,10.08,0.2,31.23,46.6,3.66,57.2,2.79,13.18,7.81,36.82,5.74,1.59,58.2,94.35,47.65,219.84,5.79,0.68,0.76,0.06,4.21,382.52,25.91,38.87,5.28,22.69,5.19,1.15,5.78,0.94,5.87,1.26,3.69,0.51,3.28,0.48,6.05,0.5,0.71,2.45,5.51,4.38,0.8,0.08,36.33,11.47
"Flow Slag","MA-201001","Eisenberg",24.21,6.62,0.18,1.53,5.96,28.18,0.51,302.09,1.96,3.8,10.54,0.21,31.33,29.71,4.7,52.8,7.27,2.53,11.33,12.13,5.62,2.23,80.61,232.64,28.03,242.84,6.82,1.48,1.22,0.1,7.4,461.32,25.89,44.81,6.08,25.42,5.91,1.08,5.37,0.83,4.98,0.99,2.85,0.41,2.78,0.4,6.49,0.6,1.05,0.94,9.64,4.54,0.47,0.06,37.44,11.35
"Flow Slag","MA-201002","Eisenberg",26.15,3.8,0.1,1.67,8.26,32.57,0.32,390.9,1.54,3.37,12.58,0.3,44.38,59.63,3.99,47.72,2.5,15.02,11.39,42.27,6.55,1.29,69.08,120.8,57.65,218.84,7.05,0.72,0.9,0.07,4.98,462.95,30.81,45.47,6.07,26.95,6.15,1.33,6.97,1.1,7.06,1.5,4.35,0.61,3.96,0.57,6.07,0.62,0.7,2.73,6.69,4.95,0.74,0.09,36.04,11.38
"Flow Slag","MA-201003","Eisenberg",27.23,7.02,0.1,1.79,5.45,19.43,0.34,275.11,1.74,2.1,8.18,0.15,20.41,14.45,3.02,65.75,6.65,4.91,15.43,41.91,5.81,2.41,71.7,71.24,42.42,127.48,4.13,0.62,1.16,0.21,6.12,363.16,17.95,32.5,4.31,19.05,5,1.07,5.69,0.89,5.68,1.19,3.57,0.52,3.39,0.52,3.69,0.38,0.81,2.29,6,4.96,0.83,0.14,34.56,10.76
"Flow Slag","MA-201004","Eisenberg",15.95,2.14,0.17,0.85,5.08,20.86,0.76,367.15,1.08,4.27,6.74,0.13,45.74,19.85,1.27,65.34,10.75,17.61,18.38,36.31,6.51,30.86,48.72,113.01,13.63,113.55,4.52,2.37,1.76,0.46,3.44,762.3,15.06,25.35,3.35,14.75,3.4,0.68,2.96,0.42,2.47,0.48,1.37,0.2,1.35,0.19,3.62,0.36,1.02,114.22,4.68,1.32,0.28,0.05,31.33,12.56
"Flow Slag","MA-201005","Eisenberg",26.74,8.48,0.13,1.42,9.09,29.48,0.24,293.67,2.69,3.32,12.49,0.28,46.13,40.67,3.44,49.69,4.43,4.46,9.05,25.97,6.61,1.03,139.98,163.49,67,322.62,6.75,0.64,0.97,0.05,18.05,825.78,29.66,61.8,7.99,38.82,10.44,2.16,11.69,1.73,10.1,2.07,5.8,0.79,4.97,0.71,9.36,0.63,0.79,1.47,9.53,3.39,0.36,0.08,34.48,10.75
"Flow Slag","MA-201006","Eisenberg",12.58,1.71,0.22,0.89,4.34,21.12,0.52,233.8,1,4.45,6.2,0.13,17.97,15.7,0.55,66.65,19.15,11.64,18.78,21.76,6.54,9.67,30.01,122.58,18.28,253.17,4.24,0.36,1.2,0.31,1.95,410.48,13.65,22.92,3.02,12.83,3.28,0.55,2.79,0.42,2.59,0.54,1.49,0.23,1.61,0.22,6.71,0.37,0.91,1.31,4.79,1.21,0.25,0.03,37.73,11.59
"Flow Slag","MA-201008","Eisenberg",12.68,4.98,0.08,0.49,4.55,17.04,0.43,260.73,1.05,1.91,5.43,0.1,13.27,14.76,1.03,73.2,0.87,4.37,9.71,12.26,5.79,0.49,53.05,98.65,17.31,92.39,4.19,0.23,1.27,0,4.34,398.47,15.7,23.75,3.34,14,2.75,0.64,2.91,0.43,2.8,0.53,1.55,0.19,1.4,0.2,2.71,0.36,1.87,0.46,4.51,3.32,0.74,0.07,34.13,11.6
"Flow Slag","MA-201010","Eisenberg",35.81,4.24,0.13,1.47,9.52,27.25,0.34,293.19,2.7,3.02,11.82,0.32,47.9,38.42,3.92,51.07,1.89,2.52,28.07,27.21,7.84,1.04,108.97,147.33,35.66,268.87,8.39,0.71,1.11,0.1,10.45,1055.29,26.69,45.28,6.28,26.3,6.38,1.26,5.97,0.94,5.76,1.18,3.41,0.49,3.23,0.46,7.16,0.74,1.02,1.58,9.41,4.21,0.45,0.06,37.53,11.37
"Flow Slag","MA-201011","Eisenberg",34.23,7.12,0.11,1.14,6.17,23.69,0.27,282.86,1.73,2.13,11.8,0.22,36.76,28.42,2.72,61.61,16.47,3.67,69.32,128.51,6.34,1.42,64.35,137.58,50.21,349.35,7.18,0.48,1.62,0.17,5.16,647.52,25.14,44.12,6.23,27.13,7.05,1.48,8.23,1.31,8.12,1.7,4.89,0.71,4.73,0.7,9.38,0.63,1.01,4.09,9.24,9.24,1,0.07,37.23,11.32
"Flow Slag","MA-201012","Eisenberg",37.05,14.82,0.16,1.34,8.2,26.51,0.84,333.11,2.38,2.4,12.71,0.22,37.41,31.44,8.31,49.48,7.48,6.97,8.25,37.39,8.83,3.1,111.22,303.35,38.06,146.15,7.66,1.6,1.64,0.13,10.99,441.14,30.61,48.67,6.51,28.77,6.86,1.41,6.75,1.02,6.2,1.3,3.67,0.52,3.49,0.48,4.19,0.63,0.91,7.31,8.21,16.35,1.99,0.11,34.9,12.12
"Bloom","MA-200988-1A","Eisenberg",22.5,12.4,0.11,0.1,6.77,23.21,1.02,444,2.17,3.48,9.8,0.2,42.6,28.3,7.62,53.86,4.7,1.1,2.7,16.4,6.6,0.2,93.9,250.3,53.2,81.7,6.4,1.7,0.9,0,7.8,3782.7,21.8,41.8,5.4,24.7,6.7,1.8,10,1.6,10,2.1,5.7,0.8,5,0.7,2.4,0.5,0.8,0.4,6.6,11,1.67,0.29,34.04,12.8
"Bloom","MA-200988-1B","Eisenberg",28.8,12.9,0.15,0.77,7.16,24.7,0.98,204.3,2.56,3.67,8,0.21,33.6,13.6,7.08,52.01,1.1,0.2,3,15.9,7.6,0.3,108.6,256.3,43.3,71.2,6.9,1.3,1.1,0,8.8,4078.3,20.5,46.6,5.3,22.2,6,1.7,8.5,1.3,7.8,1.6,4.3,0.6,3.6,0.5,1.8,0.4,1,0.4,5.1,11.6,2.27,0.28,39.56,17.25
"Bloom","MA-200988-2B","Eisenberg",24.6,10.4,0.09,1,7.14,22.92,0.85,280.8,1.98,3.16,8.6,0.25,58.5,27.8,7.36,54.83,7.2,1.8,5.1,16,8,0.5,86.8,200,43.4,67.8,5.6,2.1,0.8,0.1,7.3,3204.3,19,40.6,4.9,21,5.7,1.6,8.3,1.4,7.9,1.6,4.6,0.6,4,0.6,1.9,0.4,0.8,2.3,5.3,10.1,1.91,0.32,35.68,14
"Iron-SI","MA-201419","Eisenberg",34.97,5.87,0.17,2.05,11.29,68.74,0.2,1723.64,3.49,8.71,21.72,0.52,7.92,8.27,3.31,51.2,1.26,10.99,5.25,14.73,1.07,1.29,110.87,694.19,103.45,170.78,4.66,0.32,0.11,0.06,7.59,1888.54,60.48,105.44,13.25,53.56,11.62,3.07,14.46,2.07,12.95,2.75,8.04,1.16,7.31,1.18,4.61,0.81,4.61,0.19,9.36,9.36,1,0.26,37.05,5.75
"Iron-SI-P","MA-201421","Eisenberg",31.02,1.37,0.58,1.35,5.78,57.2,0.23,1167.04,3.25,5.97,14.06,0.31,21.97,20.96,0.52,24.56,36.81,56.32,17.43,5.79,3.46,28.18,74.32,179.79,14.27,182.36,7.72,0.71,2.36,0.88,3.81,456.44,18.49,35.14,4.17,18,4.01,0.72,2.78,0.42,2.54,0.54,1.93,0.26,1.89,0.24,4.49,0.54,4.49,0.21,5.38,2.05,0.38,0.05,40.61,14.3
"Iron-SI","MA-201422","Eisenberg",27.76,6.95,0.25,0.53,5.56,31.11,2.7,991.47,2.01,2.55,10.01,0.33,182.18,193.82,0.45,54.26,7.84,48.69,10.64,5.8,14.58,6.67,63.21,107.15,37.55,201.74,10.49,1.12,1.36,0.7,4.58,473.97,25.56,52.84,6.67,28.9,6.56,1.22,5.65,0.88,5.83,1.1,3.45,0.41,2.89,0.37,5.02,0.62,5.02,0.81,6.16,8.7,1.41,0.07,40.19,16.92
"Iron-SI","MA-201423","Eisenberg",21.39,3.8,0.99,0.24,4.38,26.7,2.69,1476.24,0.95,2.54,8.37,0.22,58.09,39.1,0.35,61.57,23.77,29.15,6.85,3.17,10.44,36.32,29.45,58.21,65.7,135.98,6.38,1.04,3.43,0.39,3.71,260.81,39.14,84.82,8.85,36.33,8.14,1.66,9.22,1.38,8.81,1.79,5.29,0.7,4.29,0.63,3.51,0.48,3.51,0.16,5.14,1.33,0.26,0.18,38.74,13.29
"Iron-SI-P","MA-201425","Eisenberg",25.66,3.02,0.26,0.86,4.65,26.8,7.07,1140.44,1.07,4.84,8.09,0.21,121.72,367.99,0.58,53.41,2.46,21.74,12.93,58.86,18.7,5.54,25.57,152.64,25.75,99.24,4.55,0.56,0.39,0.39,1.8,309.43,17.79,34.26,4.47,17.56,3.81,0.92,3.82,0.5,3.62,0.69,2.28,0.3,2.23,0.3,2.62,0.32,2.62,3.16,3.74,4.58,1.22,0.11,37.88,14.22
"Iron-SI-P","MA-201426","Eisenberg",13.96,4.7,0.12,0.3,3.02,25.03,3.57,1218.08,1.29,4.09,7.36,0.19,39.43,30.84,0.87,61.24,79.82,98.26,10.52,14.62,10.73,6.19,33.44,105.7,45.35,126.64,4.99,0.57,0.75,0.09,2.04,583.69,27.36,59.29,5.72,24.23,5.19,1.19,6.1,0.92,5.85,1.23,3.66,0.47,3.29,0.49,3.35,0.38,3.35,0.59,3.57,1.13,0.32,0.15,37.8,13.13
"Iron-SI-P","MA-201427","Eisenberg",19.27,4.22,0.23,0.47,3.74,28.67,3.11,1556.11,1.02,1.95,10.09,0.24,135.91,166.69,0.45,59.84,8.19,14.97,7.79,21.83,17.83,2.98,24.38,79.3,31.01,159.53,6.81,2.13,0.42,0.4,0.95,298.44,20.73,41.4,5.29,21.64,4.92,1.13,5.44,0.81,4.9,0.92,2.76,0.37,2.61,0.38,4.22,0.44,4.22,2.41,5.33,5.39,1.01,0.09,37.8,15.48
"Ore","MA-201429","Imbasch",2.64,380,0.05,0.21,2.65,8.1,2.31,2330,0.82,0.37,28.9,0.03,86,12.6,5,79.9,65,80,273,350,5.5,310,27.7,88,196,16.3,2.56,4.4,1.53,26.6,7.2,770,26.9,24.2,10.17,51,20.4,3.1,23.1,4.5,26.5,5.5,16,2.33,15.4,2.33,0.39,0.09,30,91,3.8,69,18.16,5.97,41.79,27.83
"Ore","MA-201430","Hettenleidelheim",30,11.3,0.1,0.91,8.15,21.1,0.22,2650,2.62,0.51,8,0.24,61,38,3.1,62.59,22,44,26,116,8.9,45,104,84,18.7,37,4.1,1.98,1.9,3.8,12.5,1100,14,27.8,4.26,15.5,4,1.07,3.7,0.69,3.8,0.77,1.95,0.28,1.69,0.24,1.06,0.34,1,11.2,4.1,4.1,1,0.23,34.91,12.06
"Ore","MA-201431","Hettenleidelheim",9.6,11.2,0.04,0.38,3.11,8.4,0.31,2320,0.85,0.24,3.2,0.08,32,18.3,1.08,85.13,32,56,21.5,107,3.4,6.9,38,36,13.3,17.9,1.46,0.64,1.44,1.34,4.9,430,6.1,13.4,2.04,8.2,2.55,0.61,2.43,0.42,2.74,0.49,1.36,0.19,1.25,0.18,0.42,0.16,0.51,3.8,1.51,2.56,1.7,0.44,42.62,9.07
"Ore","MA-201432","Hettenleidelheim",19,10.8,0.06,0.63,5.52,13.4,0.3,2260,1.49,0.28,6.3,0.12,50,29.5,1.11,76.75,13.9,32,15.2,79,5.6,12.8,58,34,12.9,86,2.7,0.93,1.38,1.7,5.6,360,7.9,27.6,2.34,9.2,2.74,0.65,2.35,0.45,2.68,0.48,1.4,0.19,1.32,0.2,2.84,0.21,0.82,6,3.2,1.82,0.57,0.07,30.28,12.92
"Ore","MA-201433","Tiefenthal",5,7.2,0.03,0.99,1.71,30,0.54,3700,0.26,0.21,7.6,0.09,152,74,0.02,66.13,17.2,110,16.4,63,2.4,128,15.5,0.01,29.1,19.8,2.53,16,0.78,3.8,1.78,2200,7.9,49,2.32,8.7,2.54,0.68,3.2,0.67,3.8,0.86,2.48,0.38,2.15,0.37,0.46,0.22,0.74,28.4,2.67,2.99,1.12,0.8,43.04,11.5
"Ore","MA-201434","Tiefenthal",28,14.1,0.08,0.81,6.28,17.4,0.24,3400,1.85,0.65,7.8,0.18,56,34,8.3,63.49,34,151,161,117,7.3,11.6,84,145,36,37,3.8,2.32,1.7,1.47,7.1,2250,25.8,51,7.7,31,7.7,1.94,8.3,1.27,7,1.34,3.6,0.48,2.92,0.44,1.01,0.3,0.97,5.7,5.4,2.76,0.51,0.44,36.63,12.67
"Ore","MA-201535","Eisenberg",18.34,10.81,0.15,0.7,4.6,12.74,1.6,3213.52,1.32,1.98,6.07,0.1,128.5,23.53,4.19,72.02,20.02,46.04,21.88,138.09,5.59,46.3,54.65,179.57,36.24,16.94,2.34,20.2,1.3,1.87,5.16,1787.17,21.66,21.27,6.37,24.86,6.5,1.54,6.35,1,5.65,1.11,2.99,0.39,2.48,0.39,0.46,0.18,0.46,43.05,2.06,3.95,1.92,0.85,37.1,13.11
"Ore","MA-201912","Hettenleidelheim",6.63,14.87,0.04,0.14,4.9,26.58,0.2,3605.12,0.7,0.3,6.53,0.14,85.89,99.35,0.04,66.29,8.57,55.29,53.2,79.2,4.45,2245.39,34.88,20.7,10.76,37.61,3.51,8.9,1.31,5.84,2.86,171.84,7.78,11.06,2.63,10.19,2.73,0.69,2.3,0.44,2.5,0.48,1.43,0.19,1.56,0.24,1.63,0.32,1.63,109.92,4.08,4.44,1.09,0.15,23.13,10.83
"Ore","MA-201914","Stumpfwald",25.02,30.13,0.11,0.54,7.68,46.72,0.5,3869.76,2.19,0.34,10.03,0.27,63.1,47.94,0.95,40.12,45.89,83.82,51.33,56.76,8.2,9.17,84.05,34.48,13.94,61.61,5.69,0.75,6.69,7.27,11.18,1111.08,5.07,20.59,2.2,9.17,3.83,1.2,4.79,0.73,3.63,0.62,1.53,0.22,1.3,0.21,1.99,0.46,1.99,27.34,2.64,2.04,0.77,0.1,30.98,12.4
