Material,Sample,Site,Li,Be,S,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,As,Rb,Sr,Y,Zr,Nb,Mo,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Th,U,Ce*,Eu*
Bloom,MA-200988-1A,Eisenberg,18.000,6.400,470.300,13.000,52.400,50.900,2.300,0.200,1.300,17.000,6.300,0.300,52.100,133.200,41.400,51.800,3.700,2.000,0.500,,4.000,1793.000,10.500,22.000,2.900,13.000,3.500,0.900,5.900,1.000,6.900,1.500,4.600,0.700,4.700,0.800,1.600,0.300,0.500,3.400,6.600,0.906,0.878
Bloom,MA-200988-1A,Eisenberg,31.600,24.200,452.900,7.200,32.700,13.400,0.600,0.200,3.600,16.500,8.300,0.200,146.900,449.200,82.600,142.700,11.500,1.300,1.500,,11.900,6654.700,40.200,72.800,9.800,46.000,12.400,3.300,18.200,2.800,16.900,3.300,8.300,1.000,5.900,0.800,4.200,0.900,1.300,12.100,18.000,0.836,0.994
Bloom,MA-200988-1A,Eisenberg,20.900,8.300,568.100,11.500,48.000,30.700,1.300,0.200,1.700,17.600,5.700,0.300,65.400,175.200,43.300,56.700,4.000,1.800,0.600,,5.100,2629.900,14.300,25.300,3.400,15.800,4.400,1.200,6.900,1.100,7.700,1.700,4.900,0.800,4.700,0.800,1.700,0.300,0.500,4.300,6.300,0.827,0.976
Bloom,MA-200988-1A,Eisenberg,16.100,3.000,575.200,12.200,74.200,53.500,2.000,0.010,0.800,19.000,7.700,0.200,21.800,53.000,26.000,29.800,1.800,1.900,0.200,,2.100,822.400,5.400,9.900,1.300,6.400,1.900,0.500,3.000,0.500,4.100,1.000,3.200,0.500,3.900,0.600,1.000,0.200,0.200,1.700,2.700,0.852,0.938
Bloom,MA-200988-1A,Eisenberg,20.900,10.400,492.800,11.700,44.100,18.600,0.800,0.100,1.900,16.700,7.200,0.010,84.800,216.500,57.800,79.400,5.500,1.800,0.800,,5.900,2831.200,19.000,36.000,5.000,21.300,5.500,1.500,9.300,1.600,10.300,2.100,6.000,0.800,5.500,0.900,2.300,0.500,0.700,5.800,9.300,0.841,0.929
Bloom,MA-200988-1A,Eisenberg,16.900,7.300,404.000,8.000,38.200,21.700,1.100,0.100,1.300,16.700,6.400,0.100,63.600,156.100,38.100,54.400,4.200,1.200,0.600,,5.400,2505.900,14.600,28.500,3.600,16.200,4.400,1.200,6.700,1.100,7.000,1.500,4.100,0.600,4.000,0.600,1.800,0.400,0.600,4.400,7.400,0.896,0.995
Bloom,MA-200988-1A,Eisenberg,16.400,7.600,405.300,8.600,36.900,20.300,1.100,0.200,1.200,14.800,5.400,0.200,63.500,165.100,38.400,53.500,4.200,1.400,0.700,,5.200,2575.300,14.100,28.500,3.600,15.800,4.600,1.200,6.700,1.100,6.900,1.500,4.200,0.600,4.000,0.600,1.600,0.400,0.500,4.300,8.000,0.912,0.979
Bloom,MA-200988-1A,Eisenberg,20.600,13.400,475.200,9.500,32.800,24.700,34.900,9.300,4.000,16.200,6.000,0.200,104.400,281.400,57.200,86.000,6.900,1.600,1.100,,9.400,4105.200,25.300,48.000,6.100,28.400,7.900,2.000,11.100,1.800,10.900,2.300,6.200,0.800,5.500,0.800,2.600,0.600,1.000,7.700,12.400,0.881,0.972
Bloom,MA-200988-1A,Eisenberg,30.800,15.400,368.400,7.600,56.900,43.700,5.500,1.200,2.900,19.000,7.000,0.010,158.000,359.800,58.300,97.900,8.200,1.500,1.300,,12.700,5550.300,30.100,59.100,7.300,31.800,8.600,2.400,12.800,1.900,11.300,2.200,5.900,0.800,4.700,0.600,3.000,0.700,1.100,9.000,15.700,0.909,1.033
Bloom,MA-200988-1A,Eisenberg,20.000,9.600,385.500,10.100,47.200,31.600,1.900,0.300,1.800,18.000,5.600,0.300,78.300,213.200,43.000,65.200,5.300,1.600,0.800,,6.200,3160.900,17.800,37.900,4.600,19.400,5.500,1.500,8.200,1.300,8.100,1.600,4.800,0.700,4.600,0.700,2.100,0.400,0.700,5.300,10.700,0.954,1.009
Bloom,MA-200988-1B,Eisenberg,30.300,12.400,170.900,8.500,31.400,13.100,0.600,0.200,3.000,12.700,7.000,0.010,115.200,249.800,43.300,68.500,6.900,1.200,0.900,,8.900,4009.200,19.900,45.900,5.200,21.900,5.900,1.700,8.000,1.300,7.300,1.500,4.000,0.500,3.400,0.500,1.700,0.400,1.000,4.800,11.200,1.028,1.131
Bloom,MA-200988-1B,Eisenberg,25.300,13.100,207.200,7.600,14.500,1.800,0.800,0.300,3.100,13.700,8.200,0.300,115.300,256.600,45.600,63.300,6.800,1.200,1.200,,8.500,4242.600,20.400,47.600,5.300,22.100,5.900,1.700,8.500,1.300,8.000,1.600,4.500,0.600,3.800,0.500,1.600,0.400,1.100,5.000,12.300,1.043,1.089
Bloom,MA-200988-1B,Eisenberg,24.700,13.800,226.200,8.500,19.100,3.700,2.700,0.200,3.400,16.700,7.200,0.300,95.600,255.500,48.500,76.100,7.600,1.500,1.300,,8.200,4209.700,22.600,53.300,5.900,25.400,6.700,1.900,9.800,1.500,8.800,1.800,4.700,0.600,4.100,0.500,1.900,0.500,1.200,5.700,13.800,1.051,1.062
Bloom,MA-200988-1B,Eisenberg,23.000,9.800,212.400,8.800,29.400,8.800,0.700,0.200,1.200,14.900,7.300,0.300,81.400,201.300,42.600,61.500,5.500,1.300,0.700,,6.700,3177.400,17.300,37.800,4.300,18.700,5.200,1.500,7.800,1.200,7.600,1.500,4.500,0.600,4.000,0.600,1.600,0.400,0.800,4.600,9.500,0.999,1.063
Bloom,MA-200988-1B,Eisenberg,27.200,13.300,242.800,7.600,19.200,4.800,1.200,0.200,1.400,14.900,7.500,0.300,111.100,276.500,44.400,69.600,7.100,1.000,1.000,,8.700,4623.000,22.500,51.600,5.800,24.200,6.600,2.100,9.200,1.400,8.600,1.700,4.500,0.600,3.800,0.500,1.900,0.500,1.100,5.700,13.300,1.029,1.228
Bloom,MA-200988-1B,Eisenberg,19.600,10.500,291.100,8.800,33.600,10.300,7.000,0.500,6.500,16.800,7.500,0.500,77.600,208.600,42.200,64.700,5.700,1.300,0.900,,6.800,3253.400,18.000,41.900,4.800,20.200,5.500,1.700,8.000,1.300,7.900,1.500,4.500,0.600,3.900,0.600,1.800,0.400,0.900,5.000,11.000,1.026,1.161
Bloom,MA-200988-1B,Eisenberg,29.800,10.700,223.400,7.900,39.100,11.000,0.500,0.010,2.100,18.200,8.800,0.400,88.000,215.400,40.200,64.400,5.900,1.200,0.800,,7.000,3439.800,17.800,37.800,4.400,19.300,5.400,1.400,7.600,1.200,7.300,1.500,4.200,0.600,3.700,0.500,1.700,0.400,0.800,4.600,9.100,0.974,0.994
Bloom,MA-200988-1B,Eisenberg,26.500,11.500,236.000,8.400,39.200,12.700,0.600,0.100,2.500,17.500,8.400,0.300,92.100,220.000,41.400,65.400,6.000,1.300,0.800,,7.100,3570.700,18.000,39.100,4.500,19.200,5.300,1.500,7.800,1.200,7.400,1.500,4.100,0.600,3.700,0.500,1.600,0.400,0.800,4.600,9.000,0.990,1.055
Bloom,MA-200988-1B,Eisenberg,29.300,12.600,232.300,8.900,35.000,12.000,0.600,0.200,2.100,14.500,7.000,0.400,90.100,245.400,44.000,71.200,6.300,1.200,1.000,,8.100,3857.600,18.500,41.100,4.800,20.600,5.700,1.600,8.000,1.300,7.500,1.600,4.400,0.600,4.000,0.600,1.900,0.400,0.900,4.500,9.800,0.994,1.078
Bloom,MA-200988-1B,Eisenberg,32.800,19.000,174.200,6.400,20.800,5.300,0.300,0.200,5.200,13.500,8.000,0.300,172.600,362.300,54.800,95.400,10.200,1.000,1.600,,12.700,5880.500,31.300,74.300,8.200,33.400,9.400,2.700,12.500,1.900,11.100,2.100,5.500,0.700,4.000,0.500,2.400,0.700,1.500,8.000,18.500,1.056,1.141
Bloom,MA-200988-1B,Eisenberg,27.500,9.700,219.800,8.900,44.800,14.800,0.700,0.010,2.400,18.300,8.100,0.300,75.500,182.000,34.100,55.300,5.300,1.500,0.900,,7.000,3031.200,14.400,35.800,4.000,16.100,4.400,1.200,6.300,1.100,6.200,1.300,3.700,0.500,3.300,0.500,1.500,0.400,0.800,3.900,10.100,1.072,1.035
Bloom,MA-200988-1B,Eisenberg,32.500,16.300,202.800,8.000,35.200,12.100,0.600,0.200,3.200,14.500,6.900,0.300,113.300,325.500,44.400,84.900,8.300,1.400,1.500,,10.300,5245.000,22.600,52.100,5.900,25.100,6.600,1.900,9.600,1.500,8.600,1.700,4.600,0.600,3.600,0.500,2.100,0.600,1.300,5.900,13.900,1.028,1.081
Bloom,MA-200988-1B,Eisenberg,38.400,15.900,171.300,6.000,20.200,10.200,2.400,0.500,3.500,15.900,7.400,0.400,142.300,330.300,47.300,79.600,8.100,1.200,1.400,,11.500,5116.500,25.600,57.400,6.500,26.900,7.100,2.000,10.100,1.500,8.800,1.700,4.500,0.600,3.500,0.500,2.000,0.500,1.100,6.400,13.700,1.014,1.073
Bloom,MA-200988-1B,Eisenberg,21.900,10.800,190.900,8.200,33.200,13.600,1.600,0.010,2.700,16.400,6.800,0.200,103.800,239.500,38.900,64.600,5.700,1.300,0.900,,7.900,3440.000,18.200,39.400,4.500,18.700,5.000,1.400,7.200,1.100,6.700,1.400,3.800,0.500,3.300,0.500,1.700,0.400,0.800,4.300,9.300,0.993,1.059
Bloom,MA-200988-1B,Eisenberg,26.700,9.300,196.500,8.200,70.600,52.600,1.800,0.200,3.100,19.200,7.200,0.400,99.800,193.600,36.400,65.700,5.400,1.600,0.800,,7.900,2897.300,16.300,35.200,4.100,17.300,5.000,1.300,6.900,1.100,6.200,1.200,3.600,0.500,2.900,0.400,1.600,0.400,0.700,4.100,8.500,0.981,1.009
Bloom,MA-200988-2B,Eisenberg,34.500,15.800,797.500,10.200,197.000,74.900,928.000,328.700,117.500,149.100,11.600,50.900,61.800,48.900,48.500,133.600,9.200,7.000,1.300,,9.000,596.300,30.400,65.200,8.100,34.000,8.500,2.000,12.300,2.000,10.400,2.200,5.300,0.700,4.200,0.500,3.900,0.700,0.900,8.100,15.500,0.946,0.887
Bloom,MA-200988-2B,Eisenberg,26.400,13.500,211.800,7.200,65.900,30.600,6.000,2.800,2.400,16.500,7.300,0.010,118.000,309.300,47.500,90.900,7.300,1.600,1.100,,9.500,4431.900,24.000,50.900,6.200,26.500,6.900,1.900,10.600,1.600,9.600,1.900,4.900,0.600,4.100,0.500,2.800,0.600,1.000,7.300,14.400,0.951,0.999
Bloom,MA-200988-2B,Eisenberg,19.500,6.800,220.100,7.400,56.100,30.100,2.200,0.400,1.400,20.800,9.100,0.010,57.300,141.500,29.900,43.400,3.700,1.600,0.500,,4.800,2138.900,12.300,25.900,3.200,13.500,3.500,1.000,5.500,0.900,5.500,1.200,3.300,0.500,3.000,0.500,1.300,0.300,0.600,3.700,7.200,0.940,1.021
Bloom,MA-200988-2B,Eisenberg,26.000,10.800,269.300,9.000,38.900,12.500,0.600,0.010,3.200,15.100,7.500,0.010,119.000,233.700,52.600,76.500,6.000,1.500,0.800,,8.200,3865.400,24.100,50.700,6.100,25.900,6.800,1.900,10.200,1.700,9.900,2.000,5.500,0.700,4.800,0.700,2.300,0.500,1.000,6.800,12.800,0.953,1.029
Bloom,MA-200988-2B,Eisenberg,26.800,9.300,269.300,9.400,33.600,10.400,0.800,0.100,1.800,17.200,7.700,0.300,95.200,221.400,43.800,56.400,4.600,1.500,0.800,,7.200,3501.800,18.400,39.200,4.600,19.400,5.600,1.600,7.900,1.400,7.600,1.600,4.700,0.600,4.500,0.700,1.700,0.400,0.800,5.100,9.800,0.971,1.094
Bloom,MA-200988-2B,Eisenberg,24.400,9.800,277.700,9.400,39.300,13.800,0.800,0.200,2.100,17.300,9.000,0.200,79.400,190.800,43.000,59.200,5.100,1.700,0.800,,6.900,3180.000,16.600,34.900,4.100,19.100,5.200,1.500,7.600,1.300,7.900,1.700,4.800,0.700,4.400,0.700,1.700,0.400,0.800,4.700,9.200,0.964,1.080
Bloom,MA-200988-2B,Eisenberg,26.500,13.000,233.500,8.700,34.500,11.400,0.800,0.010,2.200,15.500,7.600,0.200,101.700,280.600,48.600,75.000,6.700,1.600,1.000,,8.700,4554.500,21.700,46.500,5.500,23.500,6.400,1.900,9.200,1.500,8.900,1.800,4.900,0.700,4.500,0.600,2.200,0.500,1.000,6.000,11.800,0.970,1.124
Bloom,MA-200988-2B,Eisenberg,21.500,8.300,242.400,9.500,42.300,15.800,0.500,0.200,1.700,16.900,8.000,0.300,79.500,179.000,46.600,63.700,4.900,1.700,0.700,,6.200,2972.400,17.600,37.400,4.500,18.600,5.500,1.500,8.000,1.300,7.900,1.700,4.800,0.700,4.500,0.600,1.800,0.400,0.800,4.800,9.000,0.958,1.025
Bloom,MA-200988-2B,Eisenberg,26.800,14.500,231.000,8.400,31.300,11.400,0.400,2.300,2.500,12.900,7.000,0.400,124.800,297.700,54.600,82.700,7.500,1.400,1.100,,10.200,5073.000,25.300,53.100,6.300,28.100,8.000,2.400,10.600,1.700,9.900,2.000,5.800,0.700,4.900,0.600,2.300,0.500,1.100,6.800,13.300,0.959,1.194
Bloom,MA-200988-2B,Eisenberg,25.600,9.100,219.200,8.900,42.300,15.500,0.500,0.010,1.300,18.100,8.700,0.200,64.800,179.900,41.700,59.700,4.900,1.800,0.600,,5.600,2776.900,15.600,34.200,4.100,16.900,4.700,1.300,7.100,1.200,7.200,1.500,4.100,0.600,3.800,0.600,1.700,0.400,0.700,4.500,8.600,0.974,1.014
Bloom,MA-200988-2B,Eisenberg,26.600,15.700,201.900,7.000,56.000,26.000,0.300,0.200,2.600,14.900,8.100,0.010,146.400,325.700,59.100,88.300,7.700,1.200,1.100,,12.100,5650.800,28.400,59.300,7.200,30.800,8.500,2.400,12.200,1.900,10.500,2.100,5.500,0.700,4.300,0.500,2.300,0.600,1.000,7.400,13.500,0.945,1.070
Bloom,MA-200988-2B,Eisenberg,27.300,13.600,258.800,6.500,19.900,6.700,6.900,5.400,16.600,14.400,7.800,2.900,106.400,282.200,48.700,72.500,6.900,2.900,1.300,,8.700,4372.800,22.500,48.700,5.900,26.000,6.900,2.000,9.300,1.500,9.000,1.900,5.100,0.700,4.100,0.500,2.000,0.500,1.000,6.100,11.800,0.963,1.142
Bloom,MA-200988-2B,Eisenberg,14.000,1.400,225.300,10.600,101.100,82.700,2.700,0.200,1.600,18.300,7.100,0.010,9.900,26.300,18.200,19.500,1.000,1.900,0.100,,0.900,429.800,2.600,5.500,0.600,3.000,1.000,0.200,1.700,0.300,2.500,0.600,2.100,0.400,2.800,0.500,0.700,0.100,0.100,0.800,1.400,1.004,0.679
Bloom,MA-200988-2B,Eisenberg,22.600,6.500,344.000,10.300,30.600,24.200,67.300,10.300,16.000,13.800,4.700,0.300,46.500,102.600,32.600,41.800,3.500,1.700,0.600,,4.000,1630.700,9.800,22.100,2.600,11.600,3.200,0.900,4.900,0.900,5.600,1.200,3.700,0.500,3.800,0.600,1.100,0.300,0.400,2.900,6.000,0.997,1.022
Bloom,MA-200988-2B,Eisenberg,19.100,5.200,211.100,9.100,89.100,47.800,1.900,0.200,2.100,18.700,8.800,0.010,57.000,110.300,29.700,43.800,3.200,1.800,0.400,,4.300,1721.400,11.000,23.400,2.800,11.800,3.100,0.900,5.000,0.800,5.100,1.100,3.200,0.500,3.200,0.500,1.300,0.300,0.500,2.900,5.700,0.961,1.020
Bloom,MA-200988-1A,Eisenberg,23.200,12.700,410.400,11.000,51.000,40.200,1.900,0.200,2.000,15.700,7.100,0.300,87.700,240.700,52.300,82.400,6.500,1.800,0.900,,6.900,3453.000,19.900,38.400,5.100,23.200,6.000,1.600,9.400,1.500,9.700,2.000,5.500,0.700,4.700,0.700,2.300,0.500,0.700,6.000,10.500,0.869,0.955
Bloom,MA-200988-1A,Eisenberg,22.900,11.800,532.100,10.300,51.700,32.500,1.300,0.100,2.000,17.700,7.200,0.200,78.000,225.800,50.600,76.400,5.800,1.700,0.800,,6.400,3369.000,19.900,36.000,4.800,22.700,6.200,1.700,9.300,1.500,9.600,2.000,5.400,0.800,4.800,0.700,2.300,0.500,0.700,6.000,9.000,0.840,1.010
Bloom,MA-200988-1A,Eisenberg,20.900,10.400,492.800,11.700,44.100,18.600,0.800,0.100,1.900,16.700,7.200,0.010,84.800,216.500,57.800,79.400,5.500,1.800,0.800,,5.900,2831.200,19.000,36.000,5.000,21.300,5.500,1.500,9.300,1.600,10.300,2.100,6.000,0.800,5.500,0.900,2.300,0.500,0.700,5.800,9.300,0.841,0.929
Bloom,MA-200988-1A,Eisenberg,16.600,7.500,404.600,8.300,37.500,21.000,1.100,0.200,1.200,15.800,5.900,0.200,63.500,160.600,38.200,53.900,4.200,1.300,0.600,,5.300,2540.600,14.400,28.500,3.600,16.000,4.500,1.200,6.700,1.100,6.900,1.500,4.100,0.600,4.000,0.600,1.700,0.400,0.600,4.400,7.700,0.902,0.987
Bloom,MA-200988-1A,Eisenberg,23.800,12.800,409.700,9.100,45.600,33.300,14.100,3.600,2.900,17.700,6.200,0.200,113.600,284.800,52.800,83.000,6.800,1.600,1.100,,9.400,4272.100,24.400,48.300,6.000,26.500,7.300,2.000,10.700,1.700,10.100,2.000,5.600,0.800,4.900,0.700,2.600,0.600,0.900,7.300,13.000,0.910,1.024
Bloom,MA-200988-1A,Eisenberg,21.500,11.000,449.900,10.100,46.000,29.100,3.800,0.800,2.000,16.700,6.700,0.200,85.500,225.700,50.400,75.000,5.800,1.600,0.800,,6.800,3293.200,19.500,37.500,4.900,21.900,5.900,1.600,9.100,1.500,9.300,1.900,5.300,0.700,4.800,0.700,2.200,0.500,0.700,5.900,9.900,0.874,0.981
Bloom,MA-200988-1B,Eisenberg,26.800,13.100,201.400,8.200,21.700,6.200,1.400,0.200,3.200,14.400,7.400,0.200,108.700,254.000,45.800,69.300,7.100,1.300,1.100,,8.500,4153.800,20.900,48.900,5.500,23.200,6.200,1.800,8.800,1.400,8.000,1.600,4.400,0.600,3.800,0.500,1.700,0.400,1.100,5.100,12.400,1.039,1.108
Bloom,MA-200988-1B,Eisenberg,23.300,11.200,248.800,8.400,27.400,8.000,2.900,0.300,3.000,15.500,7.400,0.400,90.000,228.800,43.000,65.300,6.100,1.200,0.900,,7.400,3684.600,19.300,43.800,5.000,21.000,5.700,1.800,8.300,1.300,8.000,1.600,4.500,0.600,3.900,0.600,1.700,0.400,0.900,5.100,11.300,1.016,1.185
Bloom,MA-200988-1B,Eisenberg,28.500,11.600,230.600,8.400,37.800,11.900,0.600,0.100,2.200,16.700,8.000,0.300,90.000,226.900,41.900,67.000,6.100,1.200,0.900,,7.400,3622.700,18.100,39.300,4.600,19.700,5.500,1.500,7.800,1.200,7.400,1.500,4.200,0.600,3.800,0.500,1.700,0.400,0.900,4.600,9.300,0.982,1.041
Bloom,MA-200988-1B,Eisenberg,30.900,15.000,198.900,7.800,33.600,10.700,0.500,0.200,3.600,15.400,7.700,0.300,120.400,289.900,44.400,78.500,8.000,1.300,1.300,,10.000,4718.900,22.800,54.100,6.000,24.900,6.800,1.900,9.500,1.500,8.600,1.700,4.600,0.600,3.600,0.500,2.000,0.500,1.200,5.900,14.200,1.053,1.077
Bloom,MA-200988-1B,Eisenberg,29.000,12.000,186.300,7.500,41.300,25.500,1.900,0.200,3.100,17.200,7.100,0.300,115.300,254.500,40.900,70.000,6.400,1.400,1.000,,9.100,3817.900,20.000,44.000,5.000,21.000,5.700,1.600,8.000,1.200,7.200,1.400,4.000,0.500,3.300,0.400,1.800,0.400,0.900,4.900,10.500,1.003,1.078
Bloom,MA-200988-1B,Eisenberg,28.800,12.900,204.300,8.000,33.600,13.600,1.100,0.200,3.000,15.900,7.600,0.300,108.600,256.300,43.300,71.200,6.900,1.300,1.100,,8.800,4078.300,20.500,46.600,5.300,22.200,6.000,1.700,8.500,1.300,7.800,1.600,4.300,0.600,3.600,0.500,1.800,0.400,1.000,5.100,11.600,1.018,1.082
Bloom,MA-200988-2B,Eisenberg,26.800,12.000,409.800,8.300,106.300,45.200,0.010,0.010,0.010,0.010,9.300,0.010,79.000,166.600,42.000,89.300,6.700,3.400,1.000,,7.800,2389.000,22.200,47.400,5.800,24.700,6.300,1.600,9.500,1.500,8.500,1.800,4.500,0.600,3.800,0.500,2.700,0.500,0.800,6.300,12.400,0.951,0.932
Bloom,MA-200988-2B,Eisenberg,25.700,10.000,272.100,9.300,37.300,12.200,0.700,0.100,2.400,16.500,8.100,0.200,97.900,215.300,46.500,64.000,5.300,1.600,0.800,,7.500,3515.700,19.700,41.600,5.000,21.500,5.900,1.600,8.600,1.400,8.400,1.800,5.000,0.700,4.600,0.700,1.900,0.400,0.900,5.500,10.600,0.955,1.017
Bloom,MA-200988-2B,Eisenberg,25.100,11.200,231.500,8.900,37.600,13.500,0.500,0.600,1.900,15.900,7.800,0.300,92.700,234.300,47.900,70.300,6.000,1.600,0.900,,7.700,3844.200,20.000,42.800,5.100,21.800,6.100,1.800,8.700,1.400,8.400,1.700,4.900,0.700,4.400,0.600,2.000,0.500,0.900,5.500,10.700,0.966,1.122
Bloom,MA-200988-2B,Eisenberg,26.900,14.700,230.300,6.700,38.000,16.400,3.600,2.800,9.600,14.700,7.900,1.400,126.400,304.000,53.900,80.400,7.300,2.000,1.200,,10.400,5011.800,25.500,54.000,6.500,28.400,7.700,2.200,10.800,1.700,9.800,2.000,5.300,0.700,4.200,0.500,2.200,0.500,1.000,6.800,12.700,0.956,1.098
Bloom,MA-200988-2B,Eisenberg,18.600,4.400,260.100,10.000,73.600,51.600,24.000,3.600,6.500,16.900,6.900,0.100,37.800,79.700,26.800,35.000,2.600,1.800,0.400,,3.100,1260.600,7.800,17.000,2.000,8.800,2.500,0.700,3.900,0.700,4.400,1.000,3.000,0.500,3.300,0.500,1.000,0.200,0.300,2.200,4.400,0.981,1.006
Bloom,MA-200988-2B,Eisenberg,24.600,10.400,280.800,8.600,58.500,27.800,7.200,1.800,5.100,16.000,8.000,0.500,86.800,200.000,43.400,67.800,5.600,2.100,0.800,,7.300,3204.300,19.000,40.600,4.900,21.000,5.700,1.600,8.300,1.400,7.900,1.600,4.600,0.600,4.000,0.600,1.900,0.400,0.800,5.300,10.100,0.959,1.054
